id,relation,word1,word2,flag,coreVector
0,verb_past,save,saved,0,"[-0.028517019, 0.12328785, -0.0010004641, 0.078557774, -0.04470769, 0.005843437, 0.060296036, 0.042745963, 0.043651026, -8.3824096E-4, -0.024263533, -0.0416934, 0.010551219, 0.025593666, 0.02082372, -0.014049869, -0.041998982, 0.14244081, -0.011633351, -0.0014890981, -0.03775198, 0.07985435, -0.0016631889, -0.02649902, 0.112057194, 0.09170243, 0.050835975, -0.0015498658, -0.016497694, -0.041045614, 0.0020354406, 0.009206123, 0.037053987, 0.0032724922, 0.0048204674, 0.016532099, 0.028092077, 0.0656613, -0.014198506, -0.037754998, 0.042378012, -0.018098863, 0.11165276, 0.052346006, 0.014821128, -0.035140116, 0.01107623, -0.11650511, 0.09677326, 0.05337306, 0.08916773, -3.2814307E-4, 0.07507613, -0.061127655, 0.12397774, -0.008160291, 0.039251063, 0.021700537, -0.03258416, 0.023848886, 0.13547605, -0.026223715, -0.04996239, -0.027842863, 0.032469876, -0.042624358, 0.011001606, 0.0019234252, -0.024296142, -0.038315892, 0.08908821, 0.029616205, -0.02787774, 0.004850015, -0.09007648, 0.03900467, -0.045158878, -0.014938901, -0.07124174, 0.044920526, -0.0041573043, 0.021471767, 0.061642427, 0.105519995, 0.0050509996, -0.10271312, -0.011942799, 0.0824041, 0.07650205, 0.14248936, -0.099831216, -0.03945577, 0.14042073, 0.039499123, -0.008776137, -0.028942483, 0.057292033, -0.052921373, 0.077346, 0.046142504, 0.038225688, -0.001721212, -0.012430983, 0.005758784, 0.060874414, -0.07068249, 0.034731496, 0.053850546, 0.028866867, -0.033879243, 0.01574686, -0.046818618, -0.1091536, 0.00910441, -0.007571563, 0.07963832, 0.05577851, -0.038182367, 0.052700754, 0.023641007, 0.095563404, 0.027734773, -0.005227233, 0.104796134, -0.084414385, -0.0018173438, -0.029671103, -0.0704685, -0.0594663, -0.065400265, -0.08301012, 0.02592672, -0.040837064, 0.019250283, 0.0031985736, 0.011258378, -0.116344914, -0.06576655, 0.037855368, 0.012921568, 0.027685225, 0.053074844, -0.021927483, -0.030776666, 0.064091064, 0.09092419, -0.015173589, 0.0143813025, -0.019203532, -0.07136615, -0.041029062, -0.010579764, 0.002543804, 0.03292082, 0.103118725, 0.024805497, -0.029885747, 0.0855551, -0.05552331, -0.0051411167, 0.027753383, 0.07035185, -0.019557761, -0.043909192, -0.024882976, -0.009583174, -0.037112772, -0.050380528, -0.072521076, 0.036384206, 0.04742903, -0.007801996, -0.012113259, 0.06074513, -0.0045971354, 0.055847183, 0.024820749, -0.04577174, -0.03209039, 0.049202073, -0.09638564, 0.010875572, -0.10315349, 0.01068212, -0.04446089, -0.08903361, 0.0049687824, -0.03267946, -0.014111744, 0.08280822, 0.036067784, -0.003501082, 0.029056376, -0.006537825, 0.10542646, -0.011575049, 9.7056513E-4, 0.024144817, 0.0946224, -0.04834983]"
1,verb_past,need,needed,0,"[-0.0017029702, 0.15477327, -0.018509408, 0.041007422, -0.022389375, 0.011387264, 0.07903244, 0.104480304, 0.021384213, -0.0033211522, -0.038885765, -0.051696606, 0.025458992, 0.06603066, 0.042646166, -0.017132211, -0.04343814, 0.12915684, 0.029553836, -0.0473874, 0.007493244, 0.005018676, 0.028338468, 0.0047390154, 0.10152749, 0.048236795, 0.060961265, -0.0037981807, -0.012872989, -0.01789837, 0.017006047, 0.029280853, 0.06608954, -0.011552217, 0.024638465, -0.056175433, 0.03394283, 0.033957183, -0.02104378, -0.016406028, 0.04358465, -0.002699259, 0.14575331, 0.06139387, 0.07142703, 0.028488776, 0.079133414, -0.09196745, 0.07605952, 0.09578436, 0.03596391, -0.03453786, 0.10347847, -0.0847409, 0.1085225, -0.09188028, 0.024572248, 0.0027679054, -0.120099805, 0.010833807, 0.050771344, -0.06082244, -0.065436766, -0.05188164, 0.0228313, 0.0034614964, 0.06359775, -0.010907865, -0.0010457638, -0.016479656, 0.09723448, 0.016439099, -0.017370678, 0.014230376, -0.09119447, 0.01974734, -0.085248664, -0.1201813, -0.04377318, 0.01982201, -0.027403736, -0.023823049, 0.03613686, 0.08487634, 0.014132304, -0.11402117, -0.004022448, 0.049465787, 0.060750585, 0.1831468, -0.08602625, -0.041702323, 0.13217828, 0.059358813, -0.0553604, -0.004963716, 0.075520694, 0.006625197, 0.05572412, 0.009021705, 0.07883084, 0.021413192, -0.008671884, 0.03192513, 0.02800415, -0.033474244, 0.086979784, 0.09592618, 0.0014770798, 0.049471747, 0.034017034, -0.0035758943, -0.050541323, -0.0013309025, -0.0031687573, 0.10461017, 0.090590045, -0.10116856, 0.08990208, 5.3123606E-4, 0.024371857, 0.08023306, 0.017020829, 0.11074269, -0.062470175, -0.028956372, 0.045194205, -0.059859913, -0.03330732, -0.04520492, -0.052041255, 0.023521671, -0.049750548, 0.036099367, 0.011987446, 0.0013942256, -0.07840599, -0.010573907, 0.010349068, 0.017451666, -0.05217278, 0.02868698, 0.003505807, -0.030021902, 0.049001705, 0.05013011, 0.03731184, 0.04639362, -0.025342038, -0.14090928, -0.065043546, -0.02224119, 0.050731152, 0.019369258, 0.008410746, -0.016454121, -0.049406134, 0.058980864, -0.10898876, 0.031669527, -0.011084485, 0.09137721, -0.013133066, -0.01272923, -0.010315671, -0.05042839, -0.028675366, -0.022804316, -0.061942607, -0.015026843, -0.0026525431, -0.019055871, -0.042621747, 0.086880445, 0.024077002, 0.07877405, 0.027558172, -0.04325045, -0.05119275, 0.030659586, -0.08512912, 0.046364058, -0.11993761, 0.03681239, -0.08023952, -0.08505882, 0.024714535, -0.10651021, 0.021835234, 0.060176514, 0.04187273, 0.010937932, 0.024389252, -0.035507005, 0.03581977, 0.02904683, 0.004643, 0.018871242, 0.08485544, -0.055800926]"
2,verb_past,live,lived,0,"[-0.0692061, 0.056317657, 0.03695462, 0.06449713, -0.029020313, 0.023393786, -0.007646042, 0.035013013, 0.015519045, 0.00903041, -0.057833564, -0.040422685, -0.0076692803, 0.038124416, 0.035623483, 0.024643185, -0.05732778, 0.11367039, -0.006230128, -0.013719735, -0.010896903, 0.047379095, 0.010128119, -0.052437834, 0.075153545, 0.11988934, 0.06084165, 0.049583755, -0.02429436, 0.001958451, -0.0033026657, -0.04730464, 0.03477633, 0.036240313, 0.033622585, -0.0066493866, 0.049322028, 0.055618167, -0.031574104, 0.0024348132, 0.04840932, -0.001775607, 0.13765946, 0.055425722, 0.057903875, -0.05272981, 0.011776993, -0.05833768, 0.1293051, 0.023883637, 0.07729498, 0.025312116, 0.061862886, -0.03724628, 0.12886786, -0.0030870214, 0.05805106, 0.044400673, -0.10105003, 0.033489894, 0.0908863, -0.044043586, -0.026767585, 0.01832222, 0.039584458, -0.021557469, 0.004668617, 0.05192907, 0.024501095, -0.054967057, 0.055717878, 0.06479017, 0.01867969, 0.028760202, -0.03844479, 0.032241363, -0.08594843, -0.0457422, -0.095434695, 0.06616622, 0.042248532, 0.002943247, 0.024596563, 0.073176615, 0.06566515, -0.068780944, -0.038099274, 0.015615848, 0.09396064, 0.13152008, -0.075067736, -0.06401545, 0.11664817, 0.045886435, 0.013876626, 0.0056113144, 0.04963017, -0.031168995, 0.013025728, 0.012091082, 0.08514596, -0.01943202, -0.024414638, 0.0025665786, 0.025839128, -0.06896332, 0.050216585, 0.038016804, -0.010345953, -0.0034554116, -0.01822503, 0.023532776, -0.039808143, 0.016740728, -0.011291048, 0.014471839, -0.02381164, 0.0014983428, -0.0010154507, 0.021967592, 0.026135245, 0.06831316, -0.02446318, 0.13703668, -0.049324863, -0.010903906, -0.028177425, -0.024718625, -0.022811918, -0.103544846, -0.032389253, -0.012182082, -0.008996077, 0.031437434, -5.7913427E-4, 0.033292934, -0.1165122, -0.09569707, 0.023351636, 0.0049656085, 0.037891068, 0.03682869, -0.033563633, -0.020774541, -6.4324054E-6, 0.050153896, -0.028752536, 0.021831183, -0.05597329, -7.834605E-5, -0.05652466, -0.020517426, 0.024585197, 0.030323764, 0.060547516, 0.02644546, -0.06959184, 0.03884973, 0.015406769, 0.0049742186, 8.117461E-5, 0.07525468, 0.006290022, -0.056785274, 0.025880137, -0.01805734, -0.06275208, -0.04551116, -0.049528956, 0.056803245, 0.028677648, -0.017660206, 0.030384993, 0.03326123, 0.056777723, 0.0138229225, 0.042291544, -0.09514161, -0.03165224, -0.0034915346, -0.04068247, 0.027050229, -0.08658989, 0.032808445, -0.07680457, -0.12473285, -0.008761948, -0.0036170797, -0.028917855, 0.06252357, 0.08235617, 0.015985036, 0.044545583, 0.06003865, 0.07527223, 0.013497836, -0.03722467, 0.021585597, 0.08908285, -0.05246198]"
3,,,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
4,verb_past,show,showed,0,"[-0.10816845, 0.03163422, 0.005268188, 0.007002933, -0.01634016, 0.006356081, 0.06265198, -0.040039565, -0.029173521, 0.05681927, 0.06325048, -0.014944803, -0.01795591, -0.024434125, 0.102518156, -0.015585888, 8.603409E-4, 0.07872251, 0.099458165, -0.10220468, -0.009520777, 0.072433546, 0.079028614, -0.123171315, -0.0051941555, 0.063212775, 0.08276844, 0.07742274, -0.048022732, 9.093974E-4, -0.048546553, 4.6147034E-5, -0.025400225, 0.05729086, 0.076200716, 0.053964496, 0.014745777, 0.034628425, -0.07707471, 0.042429946, 0.029876327, -0.011556573, 0.08182546, -0.054980088, 0.068688676, -0.029178917, 0.008100616, -0.088902794, 0.1652831, -0.045456953, 0.06382155, 0.026874073, 0.03312789, 0.038152754, 0.03180828, 0.0700018, 0.06874069, 0.02703138, -0.09672217, 0.033381343, 0.16540825, -0.040533658, -0.011045998, 0.016721906, 0.010798893, 0.060126975, 0.0056171324, 0.024704095, 0.042352844, -0.08293039, -0.058681533, 0.044870585, 0.09103572, 0.074233636, 0.02406252, 0.0124465395, -0.042040598, -0.006081872, -0.053517375, -0.011564702, 0.08056068, 0.033015404, -0.050900187, 0.030730555, -0.07985607, -0.113459736, 0.0019076802, 0.04050214, 0.061724648, 0.007054845, 0.08182407, -0.114236526, 0.12898916, -0.024892867, 0.0023057675, 7.638987E-4, 0.08575282, -0.017377082, 0.072211295, -0.012760529, -0.025614534, -0.054965507, -0.008268543, -0.018154448, 0.014299972, 0.03334895, -0.008135719, 0.056468196, 0.05939413, -0.0136008235, 0.034912616, 0.08841647, -0.034893062, 0.036335014, 0.027554765, 0.0412039, -0.054285765, 0.08544284, 0.017881645, 0.031935345, -0.005443725, 0.07410745, -0.056460008, 0.069653474, -0.09798439, -0.0012759902, 0.058106504, 0.025215644, 0.014613965, 0.0041424725, -0.06540331, -0.00693537, 0.002938156, -0.033379845, -0.012403168, -0.002004547, -0.06928254, -0.072208375, 0.04504167, -0.016662473, -0.015694384, 0.010460469, -0.009356622, -0.064934835, -0.031563457, 0.09080955, -0.118015036, 0.062480956, -0.074778736, 0.031918928, -0.016096689, 0.09822801, 0.027896166, 0.05723285, 0.15462053, 0.0018940214, -0.0789268, 0.08518097, -0.02006056, 0.015972361, 0.001423669, -0.002898546, 0.025242018, -0.04763092, 0.09080523, -0.012593072, -0.06351581, -0.052783817, -0.11753919, -0.0739551, 0.04291608, 0.055084586, 0.027762862, -0.056491718, 0.09794824, -0.007868412, 0.1367361, -0.15103121, -0.025420956, 0.024520539, -0.041362572, 0.029701484, -0.09381896, -0.0027687014, -0.0033266898, 3.1982316E-4, -0.004119435, 0.018910674, -0.0670553, 0.08009301, 0.03936567, 0.10001572, 0.04460916, -0.06480174, 0.058770135, 0.013103702, -0.044189345, 0.013031727, 0.1390062, -0.07150316]"
5,mero,lion,fur,0,"[5.1415106E-4, 0.0142461145, -0.006408428, 0.013205857, -0.036993757, 0.031910457, -0.024168821, -0.0035609575, 0.001910521, 0.037692923, -0.0025184634, 0.032391254, 0.017485458, -0.03519026, -0.0010809284, 0.008922789, -0.03666858, 0.021115256, 1.4534942E-4, -0.016717743, -0.011991822, 0.0279947, -0.020462003, 0.010920777, -0.024135323, 0.0131485285, -0.054068338, -0.021052478, 0.021608215, -0.0074311276, -0.030977257, -0.002252716, -0.019838966, 0.02100265, 0.01732881, -0.016054232, 0.0033467812, -0.03987294, -0.0015915112, -0.005910997, -0.01305411, -0.022349525, 0.01750539, -0.008028207, 0.026493916, 0.012130179, 0.012298509, -0.014592013, -0.023159781, -0.067558, 0.01907882, -0.012873864, 0.0038910725, -0.038252845, -0.0213903, -0.04715165, -0.029646464, -0.02182711, -0.0143736135, -6.164971E-4, -0.017444182, -0.008375469, -0.014278781, -0.0072131883, -0.015989065, 0.024014859, 0.0029886973, -0.0051556737, -0.06786089, 0.00539826, -0.011509747, -0.025555626, 0.027790653, -4.89325E-4, -0.008631765, 0.028083395, 0.01166469, 0.021035613, -0.013575325, 0.0027676497, 4.7042072E-4, 0.021756772, 0.011388764, -0.046637453, -0.015167018, 0.04933997, -0.001637934, 0.004579134, -0.01865533, -0.031466026, 0.014155462, 0.0125452, 0.0085833, 0.020175483, -0.0039231353, -0.030119773, 0.009780491, 0.017628748, 0.008053777, 0.0035332076, -0.009423323, -0.021970754, -0.00579077, -0.0069636344, 0.05877919, 0.027202588, -0.03893222, 0.0076330877, -0.019857988, -0.031823747, 0.03419568, 0.030662939, 0.04233599, -0.023531076, 0.013865743, 0.011882084, 0.013599912, -0.021743285, 6.088509E-4, 0.01573816, 0.009032924, 0.0026587567, -0.017578147, 0.040579397, 0.015908139, 0.0026645288, -0.001644656, -0.012518058, 0.003245213, -0.011330452, 0.029405959, 8.350698E-5, -0.0023917826, 0.012057051, -0.030202923, 0.011535447, 0.058083043, 0.024315236, -0.006017016, -0.03919161, -0.025407437, 0.020004114, -0.009310847, 0.027689751, -0.012382787, -0.012083048, -0.052985568, -0.030831242, 0.0050757593, 0.0043029487, -0.0023103233, -0.00167902, -0.04408203, 0.0026858414, 0.01216058, -0.034364607, -0.028897345, 0.0133925015, -0.019326849, 0.050303627, 0.010428915, -0.02958726, 0.014001522, 0.023062788, -0.016965786, 0.0053972015, -0.00749868, 0.016372567, -0.0044636508, -0.01830953, -0.0030481745, 0.0094776135, -0.001548152, 0.0103973625, -0.014776966, 0.0045634145, 0.021450706, 0.031608004, -0.031055475, 0.007959366, 0.021590747, -0.015174117, 0.029242158, 0.0038497117, -0.016152415, -0.025856629, -0.016652208, -0.0037844845, 0.033913482, -0.016625244, -0.038475674, 0.0065063727, -0.0014881458, -0.030178847, 0.020237288, 0.0053878315, 0.019285461, -0.00240642, 0.0018803637, -0.037437554]"
6,mero,television,monitor,0,"[0.021028455, 0.03951353, -0.03832112, -0.033703282, -0.037637908, 0.053407945, -0.036419064, -0.021144701, 0.010151656, -1.0599685E-4, 0.012550853, -0.02361574, 0.0118017215, -0.0015497596, -0.0022478958, 0.0017691897, 0.016915666, 0.04383305, 0.01860751, -0.022255635, 9.121796E-4, -0.011208652, -0.026427476, 0.009398359, 0.0017977584, 0.031446226, 6.506644E-4, 0.022100443, 0.03327895, 0.018049635, -0.017688015, 0.011176656, -0.012909183, -0.005406517, 0.03709001, 0.015569335, 0.040911693, -0.026329001, -0.007854652, -0.014088369, -0.038615987, -0.029237365, -0.020796893, -0.014780297, 0.0014386685, -0.0069644526, 0.01625765, -0.011802197, -0.0078065405, -0.045483712, -0.0044328687, -0.013072973, 0.017423999, 0.030809944, 0.018540682, -0.020364054, -0.019022554, 0.0031712165, -0.014232279, 0.005142928, 0.0015189722, -0.0011820296, -0.0031378148, -0.022795767, -0.023003936, 0.0055201855, -0.007886556, 0.02478432, -0.027456092, -0.022423774, 0.00461789, -0.006262569, 0.044957723, -0.025461808, 0.035132825, -0.015099247, 0.040487297, -0.019942997, -0.037205774, -0.0012030794, 0.002833931, -0.01270872, 0.013533517, -0.039537013, -0.015012517, -0.010379809, -0.021773752, 0.020331886, -0.01960072, -0.052643392, 0.018214667, 0.0047049397, 0.005039095, 0.0035923761, -0.0032372817, -0.027266175, 0.01935756, 8.987693E-4, 0.040008403, 0.007244122, -0.022293163, -0.009847269, -0.025670296, -0.08093797, -0.0041198274, -0.004356188, 0.003667097, -0.016744146, -0.043009967, 0.01374957, -0.0047230367, 0.019025337, -0.048370868, -0.004030782, 0.029078042, -0.043250654, 0.02708121, -0.0026643262, -0.0028081324, 0.03653583, 0.031516396, -0.014955054, -0.0065393522, 0.021211531, 1.4136815E-4, -0.030360661, 0.017585086, -0.021933092, -0.001340013, -0.003214536, 0.027122064, -0.016377244, -0.0045438255, 0.007989182, -0.021748679, 0.0077749346, 0.027039088, 0.061421573, 0.0021197086, -3.5842258E-4, 0.0037302782, 0.039440773, 0.006683994, -0.020275403, -0.020567594, -0.015641592, -0.004541457, 0.014602724, -0.007824149, -0.015293811, 0.014718924, -0.035407502, -0.025908485, 0.005119691, -0.019505134, -0.0072061736, -0.028750477, -0.027282374, -0.0012970372, 0.015408898, -0.03305289, 0.025060158, 0.021564914, -0.0063395305, -0.0260681, 0.02195407, -0.030235074, 0.03329153, -0.021475153, -0.015215389, -0.0025758778, -0.03192044, 0.003337014, -0.017572219, -4.109052E-4, -0.035512354, 0.016942149, 0.009661163, -0.04045655, 0.01321504, -0.007612056, -0.0035731168, 0.009565172, -0.015099462, 0.034860786, 0.015560069, -0.008780206, 0.025751071, -0.021172894, 0.01533924, 0.010517952, -0.01676077, 0.0013099218, 0.025897682, 0.030286603, -0.020564077, 0.022092752, 0.0014125801, 0.023932368, -0.03619123]"
7,mero,strawberry,leaf,0,"[-0.015619709, 0.032914467, -0.04350578, -0.042489406, 0.0030976292, 0.005109954, -0.053129677, -0.019268302, 0.007953279, -0.02317351, 0.030299446, 0.015699955, 0.039469868, -0.019181307, -0.022086391, 0.031498566, -0.007873755, 0.009788988, 0.007803464, -0.013406623, 0.013697259, -0.019133458, -0.022083145, 0.0065982793, -0.023057787, -0.033492014, -0.03750837, -0.0369213, 0.030253127, -0.02525393, -0.007260722, -0.013061158, -0.009890198, 0.009546287, -0.008899378, -0.004284734, 1.3362325E-4, 0.011037558, -0.050246358, 0.008016035, -0.02368067, -0.04626815, 0.019600384, -0.040271472, 0.025077416, -0.004016534, 0.007521951, -0.03427632, -0.017792704, -0.012281904, -0.0076653506, -0.044529367, 0.006430271, -0.012771184, -0.027977157, -0.033705402, 0.0136332605, -0.03699528, -0.0041565155, -0.018343218, -0.011319349, -0.014582265, 0.018813306, -0.054128118, -0.0026869169, 0.052061588, 0.023586461, 0.02562856, -0.02856108, -0.007854179, -0.013828365, -0.005010166, 0.048593838, 0.022486344, 0.0036431816, 0.031454142, 0.03299065, -0.024299886, 0.0021870425, -0.020234348, 0.03714476, 0.0127595775, 0.03670994, -0.037734885, -0.005871269, 0.014899797, 0.022082996, 0.026903206, 0.030009365, -0.04445244, 0.042702693, 0.01260116, 0.048990168, 0.004758996, -0.03859682, 0.016733421, 0.022048475, 0.006460419, 0.040653843, -0.0026274656, 0.0022991109, -0.033929765, -7.879634E-4, -3.1081872E-4, 0.016582558, 0.0281101, 0.006804721, -0.012270343, -0.00950095, -0.010682265, -0.0021388899, 0.006397404, 0.030673388, -0.041308533, 0.009783537, -0.022679871, -0.007515414, 0.036005035, -0.014374308, 0.019434147, 0.014414196, -0.003144542, -0.0100352755, 0.033946402, 6.690966E-4, 0.009297442, -0.024404092, -0.007549256, 0.009267307, 0.006689005, -0.003174456, -0.01375273, 0.009232133, 0.029944185, 0.011038249, 0.012955282, 0.01707921, 0.03647435, -5.752343E-4, -0.055790525, -0.03820115, -0.015511386, -0.004867313, -0.003529864, -0.011619616, -0.007997215, -0.01709165, 0.027715381, 0.033471104, -0.04543162, 0.009814339, -0.0043611233, -0.014428144, 3.073557E-5, -0.0069178934, -0.031551953, -0.0029470248, 0.014408387, -0.024217637, 0.04719716, 0.01813142, -0.008480842, 0.0137514705, -0.0034363521, -0.02024138, -0.0092947725, -0.034238227, -0.0059588547, -0.014267881, -0.021266768, 0.005794459, 0.0060388027, -0.0053001726, -0.003618569, -0.021905662, -0.010391589, 0.0087944325, 0.021447286, -0.013261031, 0.023877574, -0.005409255, -0.0041380282, -0.013340126, 0.0018235635, -0.004556771, -0.008757359, -0.0047403364, 0.03314309, -0.026178395, 0.04184536, -0.01193952, -9.1013615E-4, -0.007933795, -0.024603091, -0.0039055345, -0.00185655, -0.037812516, 0.02660199, -0.013065338, -0.039738115]"
8,mero,bed,sheet,0,"[-0.0099974945, 0.047167763, -0.038397893, -0.018088123, 0.014985991, 0.02403082, -0.019295298, -0.04774989, -0.027961187, -0.030397374, -0.009991705, 0.009142949, 0.018527454, 3.296194E-4, -0.006535648, 0.020634305, -0.027124941, 0.013098006, 0.029394705, -0.008933955, -0.008949808, 0.033112906, -0.010914791, 0.02384386, -0.018789439, -0.002045436, 0.018326038, 0.03150952, 0.007377066, -0.019141149, 0.02851595, -0.032775972, 0.007322882, 0.051250443, 0.025170298, 0.01618284, -0.0045397454, 0.017718578, -0.04218265, 0.040855836, -0.039827816, -0.009554527, 0.035769463, -0.020031607, 0.017089654, -0.044436257, 0.002947065, -3.892619E-4, -0.013944116, -0.051384874, -0.0073323837, -0.03262102, -0.00358411, -0.0078386655, -0.0376357, 0.021196276, 0.029163217, -0.0059822956, -0.0033695016, 0.022925364, -0.034020107, -0.0072091776, 0.033753358, -0.06142073, -0.03522112, 0.016828654, 0.018288314, -0.010035165, -0.03034956, -0.004300982, 0.014200442, 6.762967E-4, -0.006477624, 0.0152050145, -0.0034675174, -3.2952652E-4, 0.01880748, 0.009559625, -0.021943152, 0.020585058, 0.021290367, -0.019781021, 0.026293801, -0.011688092, -0.01867968, -0.03731893, 6.560612E-4, 0.03358024, 0.014661451, -0.011698684, 0.019402582, 0.02558147, 0.04204951, 0.0086102355, -0.01416013, 0.010407167, 0.014360908, 0.012001029, 0.023901206, 0.0065548522, 0.0012404956, -0.03295423, -5.930706E-4, 0.0091670705, -0.003953758, -0.031003358, 0.02655567, -0.015168152, -0.040417388, 0.0016612457, -0.017582541, 0.04019617, -0.004181636, -0.032313634, 0.041023273, -0.020224474, -0.006045295, 0.0044094943, 0.0047967765, 0.05112172, 0.006572935, -0.01558747, -0.030118022, -0.005315172, 0.017183123, 0.015727062, -0.005710289, 0.008675086, 0.02664957, -0.017790852, 0.0033011294, 0.061729785, 0.016546367, 0.0011669938, -0.018132051, 0.009761485, 0.024531988, 0.011551932, -0.02794298, 0.010855202, -0.017310847, 0.0070865443, 0.0075185047, 0.010912557, -0.01887685, -0.009877366, -0.009097475, 0.008703194, 0.0015658729, -0.009162188, -0.014827365, 0.017855847, -0.019201595, -0.01300844, 0.004585543, -0.053125706, -0.025813412, 0.0051258854, 0.024560492, -0.001732954, 0.015488163, 0.008618934, 0.0082625365, -0.012393423, -0.02845637, 0.040375125, -0.0523048, 0.01850591, 0.033390477, -0.025912894, 0.02787728, -0.003832767, -0.023197094, 0.008582439, 0.004682023, -0.013926576, 0.010272698, -0.01030913, -0.016851673, 0.033373356, 0.010513536, 0.0395015, -0.0043457653, -0.023551749, 0.021403395, 0.009832401, 0.016323978, 0.020824557, -0.054121252, -2.4354331E-4, 0.046251528, -0.034325402, 0.0233276, 0.009671309, -0.036392763, 0.0020592108, 0.0027113608, -0.009663083, 0.027757632, 0.030964715]"
9,mero,city,block,0,"[-0.005347252, 0.01819534, -0.008432072, -0.0038535285, -0.06898367, 0.034688603, -0.03215987, -2.8381924E-4, 0.006748344, 0.0027029137, 0.016651234, 0.012293696, 0.032453958, -0.024736753, 0.0023513895, 0.012656134, -0.032683935, 0.051518284, 0.0167506, -0.0075948397, 0.009721011, -0.007627206, -0.023269096, 0.015209227, -0.006889558, 0.002430463, -0.039712533, 0.007318401, 0.043024294, -0.004856376, -0.022767365, 0.03058217, -0.016960047, 0.008195045, 0.0037295981, -0.019056745, 0.027250793, -0.02684355, -0.012864488, -0.045541238, -0.026204644, -0.03925011, 0.011993252, -0.0069203163, 0.019603996, -0.004581571, 0.0401676, -0.015947018, -0.026148451, -0.045924254, 0.027708333, -0.013991438, 0.0074677854, -0.027551185, -0.024695858, -0.027544478, -0.0034111575, 0.01282232, 0.018512094, -0.009116699, -0.012329469, -0.03476121, 9.96872E-4, -0.010667783, -0.012065763, 0.005007148, -0.009256808, 0.04007802, -0.033838063, 0.010684487, -0.018968472, -0.027621757, 0.0065566776, -0.0038385796, -0.0028922572, 0.026338222, 0.04754161, -0.007316697, 0.008817304, -0.009191645, 0.013857803, 0.020002127, 0.045879524, -0.046604626, -0.009639608, 0.06516943, -0.00451192, -0.00999047, 0.008539756, -0.0062701176, 0.022527771, 0.0034764458, 0.020124596, 0.0042204596, -0.0023053084, -0.0055702254, 0.036191203, 0.005601129, 0.044330277, -0.012868468, -0.048858978, -0.021933781, -0.015514191, -0.012942248, 0.012119152, 0.031362005, -0.042943962, -5.5029517E-4, -0.026008865, -0.005376099, -0.0015516249, -0.0061174147, -0.007926426, -0.044310406, 0.05165534, -0.03465977, 0.019587928, 0.023691183, -0.02208775, 0.010114778, 0.0069252644, -0.0061899256, -0.0071479813, 0.014515601, -0.026787577, -0.026800223, 6.3258485E-4, -0.042902928, -9.6812495E-4, -0.006857376, 0.042094857, -0.025773901, -0.033350848, 0.0019286987, -0.025130298, 0.0055369115, 0.03750169, 0.05765134, 0.019958569, -0.019932233, -0.035236966, 0.0167971, -0.0064021936, 0.023634238, 0.03243962, -0.04680327, -0.011224214, -0.021558914, -0.011117731, -0.015978903, 0.014653798, -0.0156347, -0.03861593, -0.011811625, -0.022952758, -0.025753165, -0.05238583, -0.0031746016, -0.013284097, 0.04591445, -0.013219709, 0.007244787, 0.0023277886, 0.023230541, -0.009728932, -9.209555E-4, -0.027751874, -0.010514579, -0.019830534, -0.018500222, -0.0058292937, 0.03173292, 9.3131367E-4, -0.0031766957, -0.0134346, -0.017158607, 0.0038098537, 0.011541375, -0.06266547, 0.016971415, -0.014040845, -0.041751854, 0.02989952, 0.025116367, 0.03721102, 0.01933067, -0.024787873, 0.025592513, -0.012225764, 0.010063647, -0.02678937, -0.0037016969, 0.020356888, 0.0061298017, 0.04085554, 0.0015103549, 0.012536657, 0.039005347, 0.01564114, -0.064984284]"
